owner,repo,doc_quality_score,readme_found,readme_size_bytes,sections_found,missing_sections,has_code_examples,has_screenshots,has_security_info,has_license_info,readability_score
prisma,prisma,7.6,No,12555,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
mindsdb,mindsdb,6.7,No,8141,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; requirements; testing; advanced_usage,error_handling,Yes,Yes,No,Yes,3.5
yamadashy,repomix,7.8,No,40449,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
activepieces,activepieces,7.3,No,69980,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,No,Yes,Yes,Yes,3.5
mediar-ai,screenpipe-mcp,0,No,0,,,No,No,No,No,0
skyvern-ai,mcp,6.1,No,2441,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; project_info; requirements; advanced_usage,error_handling; license,Yes,Yes,Yes,No,5.0
github,github-mcp-server,7.3,No,25032,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,2.0
mastra-ai,mcp-docs-server,5.9,No,3450,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; project_info; tools_reference; testing,error_handling; license,Yes,Yes,No,No,5.0
ahujasid,blender-mcp,7.8,No,7390,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
pipedreamhq,modelcontextprotocol,7.8,No,8235,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
supermemoryai,supermemory,5.7,No,8434,installation; usage; api_reference; security; cli; screenshots; contribution; license; project_info; tools_reference; requirements,configuration; error_handling,No,Yes,Yes,Yes,3.5
microsoft,playwright-mcp,7.5,No,16715,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,No,Yes,5.0
pydantic,mcp-run-python,5.0,No,2353,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; tools_reference; testing,error_handling; license; project_info,Yes,Yes,No,No,5.0
glips,figma-context-mcp,4.3,No,3549,api_reference; security; cli; screenshots; code_examples; contribution; license; project_info,installation; usage; configuration; error_handling,Yes,Yes,Yes,Yes,3.5
upstash,context7,7.6,No,12086,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
trycua,mcp-server,7.2,No,6340,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing,license,Yes,Yes,Yes,No,5.0
benjamine,diff-mcp,5.8,No,2802,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference,error_handling,Yes,Yes,No,Yes,5.0
lauriewired,ghidramcp,6.8,No,4873,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,No,Yes,3.5
lharries,whatsapp-mcp,7.8,No,8794,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,,Yes,Yes,Yes,Yes,5.0
sonnylazuardi,cursor-talk-to-figma-mcp,7.5,No,9090,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing; advanced_usage,,Yes,Yes,No,Yes,5.0
executeautomation,mcp-playwright,6.2,No,4491,installation; configuration; api_reference; cli; screenshots; code_examples; contribution; license; tools_reference; requirements; testing; advanced_usage,usage; error_handling; project_info,Yes,Yes,No,Yes,5.0
wonderwhy-er,desktopcommandermcp,7.8,No,23803,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
topoteretes,cognee-mcp,5.7,No,2207,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; tools_reference; requirements,error_handling; project_info,Yes,Yes,Yes,Yes,3.5
