owner,repo,github_stars,download_count,experimental_ai_generated_description,risk_category,security_score,popularity_score,doc_quality_score,doc_quality_adjustment,readme_found,has_installation_docs,has_usage_docs,has_api_reference,has_security_docs,has_error_handling,has_cli_docs,has_code_examples,has_screenshots,has_license_info,readme_size_bytes,headings_count,code_blocks_count,readability_score,missing_sections,oauth_implementation,direct_api_tokens,config_risk_factors,outbound_risk_factors,outbound_connections,overall_score
prisma,prisma,42110,0,"Prisma's MCP server enables LLMs to manage Prisma Postgres databases through natural language commands. Available via the Prisma CLI command 'prisma platform mcp --early-access', it allows AI assistants to perform operations like creating database instances, running schema migrations, and managing database tables. The server integrates with popular AI tools including Cursor, Windsurf, Claude Code, Claude Desktop, and the OpenAI Agents SDK, making it accessible across multiple development environments for database management tasks.",MEDIUM,0.7,4.2,7.6,-2.28,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12555,29,14,3.5,,No,Yes,,,http://root:root@127.0.0.1:8085,0.774
mindsdb,mindsdb,27896,0,"MindsDB is an MCP server that enables your MCP applications to answer questions over large-scale federated data—spanning databases, data warehouses, and SaaS applications.

​
Key Features
Unified Data Gateway
MindsDB acts as a unified data gateway that handles complex data operations, freeing AI apps and agents from the need to manage individual data sources or write complex logic. MindsDB enables “one-step” querying across multiple sources with full auditability.

Superior User Experience
MindsDB delivers a polished, secure, and user-friendly experience on top of MCP integrations. Our turnkey solution includes robust security controls, monitoring, governance, and native integrations to ensure compatibility with non-MCP solutions and applications.

Advanced AI Workflows
MindsDB orchestrates complex AI workflows, such as joining data from multiple sources and coordinating across various models and data systems in a single query. These composite workflows are challenging to implement using MCP alone.",HIGH,0.8,4.2,6.7,-2.01,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,8141,12,5,3.5,error_handling,Yes,Yes,Found pattern: tracking; Potential data exfiltration: POST\s+https?://; Found pattern: collect.*data,,https://platform.openai.com/docs/api-reference/chat/runs; https://api.openai.com/v1/chat/completions,0.7770000000000001
yamadashy,repomix,15376,0,"Repomix is a powerful tool that packs your entire repository into a single, AI-friendly file.
It is perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more.",MINIMAL,0.2,3.05,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40449,81,50,5.0,,No,No,,,,0.538
